startcong,district,statename,pop_density
60,18,Ohio,469740.7652757155
60,19,Ohio,267671.9645132573
60,1,Ohio,4598795.007025343
60,20,Ohio,656605.5141829292
60,8,Ohio,260283.4144519687
60,9,Ohio,436124.7965751789
60,21,Ohio,33675547.14779432
60,2,Ohio,2942285.031324753
61,3,Ohio,562486.2604409212
61,4,Ohio,329961.33430054627
61,5,Ohio,291037.9082404511
61,6,Ohio,280204.59586398845
61,7,Ohio,348248.45167376834
61,10,Ohio,258355.6185749357
61,11,Ohio,226252.62837957285
61,12,Ohio,1402265.3134913635
61,13,Ohio,308041.4829909301
61,14,Ohio,263657.4400939392
61,15,Ohio,286411.3865929716
61,16,Ohio,342224.7882054801
61,17,Ohio,269565.4534464123
61,18,Ohio,488539.46590887615
61,19,Ohio,278384.0114564713
61,1,Ohio,4782835.603458571
61,20,Ohio,682882.4128633374
61,8,Ohio,270699.77673040004
61,9,Ohio,453578.209384056
61,21,Ohio,35023219.26034282
61,2,Ohio,3060033.2438922506
62,3,Ohio,583452.844112788
62,4,Ohio,342260.58925242757
62,5,Ohio,301886.29883051675
62,6,Ohio,290649.17650106695
62,7,Ohio,361229.3559449101
62,10,Ohio,267985.7821449794
62,11,Ohio,234686.15822291793
62,12,Ohio,1454534.5244804935
62,13,Ohio,319523.67905821267
62,14,Ohio,273485.22819689923
62,15,Ohio,297087.3243427571
62,16,Ohio,354981.1614027072
62,17,Ohio,279613.4617840711
62,18,Ohio,506749.6948679947
62,19,Ohio,288760.73010651744
62,1,Ohio,4961115.020968414
62,20,Ohio,708336.7434920039
62,8,Ohio,280790.0667835732
62,9,Ohio,470485.2632049469
62,21,Ohio,36328704.049437046
62,2,Ohio,3174095.484268519
103,0,Alaska,2117.525920528234
104,0,Alaska,2169.338497845733
105,0,Alaska,2221.2221729975595
106,0,Alaska,2273.307165736654
107,0,Alaska,2321.60829050958
108,0,Alaska,2363.47493499914
109,0,Alaska,2407.538695650532
110,0,Alaska,2454.0949295034875
111,0,Alaska,2499.2312759777647
112,0,Alaska,2538.5024055093054
103,1,New Mexico,497045.3582043663
103,2,New Mexico,35324.56766597743
103,3,New Mexico,46769.16833453249
104,1,New Mexico,509207.28774799296
104,2,New Mexico,36188.90508714303
104,3,New Mexico,47913.53739604726
105,1,New Mexico,521385.9060358699
105,2,New Mexico,37054.4285623896
105,3,New Mexico,49059.47677438774
106,1,New Mexico,533611.7794582916
106,2,New Mexico,37923.310417651664
106,3,New Mexico,50209.86259469918
107,1,New Mexico,544949.4682354112
107,2,New Mexico,38729.069787038
107,3,New Mexico,51276.675243060396
103,3,New York,12229530.461927572
103,28,New York,7402384.010492765
103,15,New York,156876064.8523501
103,16,New York,122597649.23382339
103,5,New York,12250410.933275865
103,7,New York,70444526.84486778
103,9,New York,37322092.78207261
103,1,New York,2624553.8240666706
103,11,New York,216503470.1984224
103,17,New York,89474618.67837027
103,12,New York,153850611.10600254
103,6,New York,56060288.13940811
103,2,New York,9034293.430577504
103,14,New York,159792800.90049872
103,13,New York,28969641.075247407
103,4,New York,24451802.673774347
103,8,New York,93265917.58312716
103,10,New York,124956190.89464732
103,19,New York,1870734.1897870898
103,21,New York,1896707.5997676244
103,22,New York,310913.0889628843
103,18,New York,21524717.388874285
103,20,New York,1591038.9177150575
103,27,New York,572688.8479687915
103,29,New York,1738685.620056402
103,23,New York,345722.1192406607
103,24,New York,157184.58273025395
103,25,New York,1117170.340128612
103,26,New York,672843.955711424
103,30,New York,2889124.6675411593
103,31,New York,311462.8693156031
104,3,New York,12528768.11775625
104,28,New York,7583508.874259154
104,15,New York,160714579.016748
104,16,New York,125597423.69622359
104,5,New York,12550159.501875747
104,7,New York,72168195.23464306
104,9,New York,38235306.546860725
104,1,New York,2688772.588340153
104,11,New York,221800974.55499914
104,17,New York,91663923.92053246
104,12,New York,157615097.10638437
104,6,New York,57431996.50222228
104,2,New York,9255348.588553563
104,14,New York,163702683.07533956
104,13,New York,29678483.292251773
104,4,New York,25050100.3873018
104,8,New York,95547990.03334668
104,10,New York,128013675.21597925
104,19,New York,1916508.1559563694
104,21,New York,1943117.0950228856
104,22,New York,318520.65036496305
104,18,New York,22051393.862175804
104,20,New York,1629969.1740770182
104,27,New York,586701.6564669516
104,29,New York,1781228.5623867242
104,23,New York,354181.4036630482
104,24,New York,161030.64584895165
104,25,New York,1144505.7668469262
104,26,New York,689307.4044654366
104,30,New York,2959817.070295562
104,31,New York,319083.8829908071
105,3,New York,12828416.391052349
105,28,New York,7764882.279716063
105,15,New York,164558360.4358986
105,16,New York,128601314.48478994
105,5,New York,12850319.38902363
105,7,New York,73894228.8626666
105,9,New York,39149773.43442937
105,1,New York,2753079.4743651375
105,11,New York,227105748.21000874
105,17,New York,93856233.35336532
105,12,New York,161384748.7791925
105,6,New York,58805587.13955307
105,2,New York,9476707.081044381
